Unnamed: 0,Airline Name,Overall_Rating,Review_Title,Review
14156,lufthansa,9,the trip was really good,i took a return trip from pl to us this april and the crew was amazing on the way there i had to call them to come as i had a problem with a passenger behind me crazy woman who had three seats to herself but wouldnt let me recline when i tried to the crew came and helped me deal with that on the way back the crew were smiling and very helpful the food was good on the way to usa worse on the way from usa but ive been traveling there for almost 20 years and that is always the case overall the trip was really good only tiny complain i would have is there space is little small on the a350
20891,transavia,6,doesnt allow for online checkin,the flight left before the scheduled time and arrived well ahead which is always great the aircraft was very clean and staff was nice but transavia doesnt allow for online checkin which given the circumstances makes even less sense than normal also lines for the paris flights were mixed
2888,air tahiti nui,3,we must respect distancing it is just impossible,food the food from a quality standpoint from tahiti to paris had nothing to do with being in business class seat comfort having selected a six abreast configuration on an ultra long haul flight it is just a no sense choice i was lucky enough to be seated on an aisle seat but for outboard pax on lh rh side it is just a headache to get access to the aisle this seat does not have enough personal belongings storage and feet area is just to narrow to have a great sleeping position lavatory the airline decided to lock the forward lavatory exclusively to crew it means 30 pc pax 30 pyc pax are sharing only two lavs near door 2 during these times when we must respect distancing it is just impossible this airlines needs to remember their revenue is coming from passengers
11472,insel air,7,insel air customer review,boncursxm it was my first time flying insel and i can say it was better than many other caribbean airlines flights on time snacks served after take off and no tax or extra bag fees the price was fair and some dollars cheaper than its competitors funny to listen the announcements in papiamentu only some thousands speak it well i give insel 3 and a half stars will fly them again
7901,cubana airlines,3,cubana airlines customer review,cunhavcun both flights delayed for over an hour and although service on the first flight was good the second flight was terrible try to avoid or just be patient
21026,tuifly,2,uncomfortable for a 4 hour flight,berlin to fuerteventura bad experience narrow seats almost no legroom uncomfortable for a 4 hour flight for the better seats you have to pay 30 or 35 euros although the tickets are not cheap catering is expensive and not good rude passengers pushing their sears back without asking and even reacting aggressively when you ask them to push the seat back in upright position long check in lines no inflight entertainment seats in left 11 row have no window
1253,air canada rouge,4,our experience was extremely disappointing,on our departure from mexico to return to montreal we were shocked to find that our seats were not guaranteed on our flight in fact when checking in at cancun airport we find that we dont have a seat the letters sby are indicated as seat by going to ask the question to the representative of our airline company while going to carry our luggage he tells us that we do not have a seat yet that we are on standby and that we will have to present ourselves 10 minutes at our boarding gate before boarding begins to check with another employee of our airline to ask them for a status report we were so frustrated with the situation and the lack of explanation from our airline the employee didnt seem convinced that we had a seat on the plane even though we had an outward flight and a return flight when we had booked our trip to a resort in mexico with our travel agent moreover it was not our first time on a plane we knew how it worked and we had never experienced such a situation so we headed to our gate and waited for the right moment even when it was time to go see the employee at the boarding gate she didnt seem to know what to say other than probably the system finally my partner and i were called to the gate and finally got seats on the plane so imagine arriving at the airport and learning that your seats are on standby first time in my life that i have lived this also it was not the first time we had flown with this airline on the other hand positive point all the flight attendants on the outward and return plane were very nice and professional nothing to say on this side unfortunately our experience with the airline was extremely disappointing our travel agent did not understand why we did not have a seat on the return plane
12553,jetstar pacific,4,already expected a delay,ho chi minh city to da lat based on previous flights on this route i had already expected a delay between 1 and 4 hours and i was right 2 hours delay so i tried not to stress myself not much announcement from the company like email sms even the captain did not bother to say something the checkin staff was friendly but they weight anything that moves be prepared they also retain your ticket and passport until your checkedin luggage is scanned you can checkin online and it is nice that they assign the seats together even if you did not book seats the plane was relatively new 2 years old
7827,csa czech airlines,6,unreasonably high prices,nice to prague flights are mostly on time smooth boarding and nice atmospohere in the aircraft a319 in good condition and clean real shame is that you dont even get free water on the board and everything is paid with unreasonably high prices bagage allowance depends on type of your ticket be careful prg to nce for example allows only 15kg tickets prices might seem a bit too high average european airline in my opinion
12170,jetairfly,4,my last trip on jetairfly,i have travelled with jetairfly about 8 times every time there were some issues most of the time involving my reserved seats that they unannounced changed very uncomfortable and no refund given every time they had a minimum delay of 25hrs the longest delay 5 hours all leaving from miami they did not announce this at any time desk people never gave correct answers i live 90 minutes from the airport they could have warned me by email every time i say this will be my last time but it is convenient for me because of the nonstop to brusselsmiami today i have a bigger issue with them i need to take my support dog with me and am not able to reach them by phone from usa neither they dont want to give an email address on top of all of it they raised their price 200 one way since last year it definetly will be my last trip on jetairfly
15147,nordica,7,legroom is more than okay,warsaw to tallinn our flight was in codeshare with lot polish airlines between our arrival and departure there were 55 minutes gate opens 30 mins before departure the ground crew worked very well so we could catch our nordica flight to tallinn with ease the seats are comfortable the legroom is more than okay bigger meals and drinks are available on purchase but they serve complementary drinks coffee tea water and snacks chocolate bar the cabin crew was kind and the cabin was clean
633,afriqiyah airways,7,afriqiyah airways customer review,brujnbbru with a stopover in tripoli there were some troubles with the inflight entertainment on our way to jnb there were not enough headsets so we couldnt use the inflight entertainment on our way back from jnb to tripoli the inflight entertainment in our part of the plane didnt work at all the food was okay and the cabin crew friendly its definitely value for money but there are some things to improve
9755,flydubai,4,few staff are smiling,flydubai used to be always the best option for me and my wife among the budget airlines where we use to get a convenient and quick service but now felt like it has been downgraded as a budget airlines we dont expect to get a premium service but always expecting to get at least a friendly and a professional behavior from staff but now thats also has been dropped massively only few staff are smiling and willing to help and thanks for those staff who are willing to help and support
19492,swoop,2,most dysfunctional airline,most dysfunctional airline to date pre check in not functional leading to long lines and poor support at airport over 90 mins to checkin to airline alone dozens of people left without service or luggage support no available customer service or consideration throughout booking process flights delayed 5 times every delay notice coming 20min after scheduled departure not worth any discount as once fees for luggage added up might as well have gone with one of the big three
2817,air seychelles,2,most unfriendliest youll meet,johannesburg to mumbai via mahe the staff in flight and at the airport must be the most unfriendliest youll meet for the entire flight of passengers theres 2 people at 1 counter doing the check in takes 45 mins for a flight half full the guy at the luggage scan asked us to make it quick as the flight is leaving as if it was our fault theres only 1 counter receiving check ins there is no time in transit youre shipped from 1 flight to the other there is no place to smoke but was advised by a guy that smoking in the toilet isnt permitted but allowed its the smallest airport ive been to with barely any facilities taking all this into consideration i see no reason why they should have an attitude flights itself are clean but outdated in entertainment if you not fussy this is a cheap alternative if you need to travel in some comfort pay more
7015,china southern airlines,7,seat plane and amenities are super clean,despite 11 hr gzakl flight time the whole experience felt only 4 or 5 hours thanks to excellent sleep made possible by 180 degrees lieflat seat the seat strangely enough isnt comfy when its in recliner mode much better in normal seating mode with leg restlumbar support adjustments the message function is awesome however the seat design isnt really for storage of bagsshoes the spaciousness of the seat is more for writing and putting many dishesitems etc nevertheless space is plenty in overhead locker the cz business class experience isnt designed for people who want luxuriousspecial flight experiences its more for passengers who want good products great chinese food and things that just work the seat plane and amenities are super clean the punctuality is outstanding the service is more on the practical and taskcompleting sides than those of emiratessingaporeqatar airlines great attendance efforts and politeness despite not being fluent in english the crew are very hardworking and proactive in helping people its remarkable that it wasnt too long ago since china southern resumed its normal ways of operation to have abundant numbers of staff seven even for notbig business cabin is quite impressive
15672,openskies,9,openskies customer review,dullesorly return checked in online used american airlines admirals club boarded on time and surprised at condition of aircraft and seats flight attendants were helpful and during a delay served additional beverages meal was good our return flight was no different icare lounge was spacious with food and beverages to choose from the main meal on the return was lovely audio visual system it may not have been state of the art but worked well with much to view
17828,shaheen air,3,shaheen air customer review,nl721 peshawar to jeddah 191112 b737800 midwest air flight time was 5am but it was 1 hour late and departed from peshawar at 643am flight catering was done in peshawar the food was not so tasty and the toilets were dirty staff were not friendly
3442,airasia x,6,changed my seat after takeoff,seoul incheon to kuala lumpur the check in counter only opened 2 hours before flight and the queue to check in was so long there were no self check in kiosk we were in the airport 5 hours before flight we were in a rush to catch up the flight as we had to take train to the gate after we boarded the aircraft and put our luggage in the compartment the aircraft was out of power due to problems with ground power unitgpu the pilot did an announcement regarding it but no estimation time given passengers were still boarding at this time with limited light and small aisle its really not worth it to pay for hot seats and having to face awful stuff but kudos to one of the cabin crew on the flight who saw me having difficulties dealing with crying babies and changed my seat after takeoff
23002,xiamen airlines,5,xiamen airlines customer review,hkgxmnhkg both legs fairly new 737 seat room and cleanliness ok substantial hot meal served for a 50 minute flight first leg on time smooth flight crew spoke only poor english but were friendly enough good attention to safety where mobile phones and seat belts are concerned return flight delayed 6 hours due to weather boarding 3 hours late followed by another 2 hours wait on plane food and drinks served then another hour almost in hkg while waiting for a gate
2939,air tahiti nui,5,air tahiti nui customer review,aklpptlaxppt in economy may 2014 air tahiti nui only have five a340 aircraft we flew on three of these all were different experiences the first leg aklppt was on moorea which had an upgraded interior and felt very new and fresh leg room seemed adequate for economy however as others have said previously the seat designer should be sacked the head rest is not ergonomic at all and causes discomfort the is also no lumbar support i packed the seat back out with pillows to help the crew were young friendly and worked the cabin non stop food on all flights was edible if not slightly odd the seat designer must have had input in the menu as well entertainment on demand comprised of about 10 of movies some recent releases and tv shows the second flight an 85 hr overnight flight from pptlax was on nuku hiva this aircraft was also retrofitted with the new interior however it felt older tired and there was a noticeable decrease in leg room despite us being in the same seat number on both flights the crew were a bit surly and disappeared after trolley service again the seats werent that comfortable due to the awful head rest and lack of leg room our third flight overnight from lax to ppt was on bora bora which has yet to have its interior retrofitted the seats were much more comfortable than the newer version in economy as they lacked the offending head rest but the entertainment is on the old loop system rather than on demand would i fly them again only if the price was right we scored half price tickets you only get what you pay for
2208,air malta,8,perfectly adequate airline,munich to malta good friendly service and on time arrival the aircraft was modern and i liked the random maltese facts painted on the inside of each engine when i first sat down in my seat the plane had been configured wrongly and my economy seat was in fact in business class once the passengers were all seated the crew reconfigured the aircraft and moved the curtains further up this meant that we couldnt see the screen displaying the safety and emergency procedures video the food was very limited and if we wanted anything more including coffee there was an extra surcharge overall though this was a perfectly adequate airline
342,aeroflot russian airlines,6,smiling and attentive cabin crew,moscow to helsinki with aeroflot relatively good flight waiting for checkin took 15min then it was very fast flight on time relatively comfortable seats legroom decent smiling and attentive cabin crew negative point the snack served on board was a sandwich with beef with no other alternatives airlines should make an effort to at least offer two options meat non meat
11741,ita airways,2,pathetic experience,this is my experience with ita airways on which i flew today i booked my tickets using ita airways website which showed a connecting flight from new delhiromebarcelona the layover was 50 minutes and my flight from delhi to rome got delayed by 40 minutes we landed at 840 am there was no preference given for unboarding the flight for people whose connecting flight was just 20 minutes hence the flight attendants could not care less there was no one available outside the gate to help us guide for the immediate onboarding for the next flight had the ita attendants been mindful of such urgency which was created due to delays by ita airways so many people would not have missed the flight i was given the next flight which was 5 hours after my missed flight and all that was compensated was a snack meal coupon no lounge services to rest after a 9 hour flight and a long delay in arrangement of the next flight pathetic experience the staff is unconcerned about the customers
956,air austral,3,air austral customer review,sydneyreunionmauritius not impressed staff sometimes quite rude one meal with drinks provided after take off soggy sandwich about half way and small snack before landing drinks few and far between we could go and help ourselves to warm drinks with no ice overall would not fly air austral again and would not recommend it return flight not better
6470,caribbean airlines,2,caribbean airlines customer review,flights from london to port of spain and return the plane on both flights was an old boeing 767 a very noisy machine probably purchased second hand with lots of malfunctioning items for example in both flights the in flight entertainment system was broken and entire rows could not either listen or watch the movies or both seats very dirty and one toilet ran out of water whilst on the flight from lgw to pos the cabin crew were professional and kind most of the return staff were rude cold and not professional food was in both flights below any good standard quality the breakfast was the worst ever in port of spain thanks to the mistakes of the check in our small group who specifically asked to stay together and was reassured on that was scattered all over the plane
1412,air china,5,onboard experience lacking,sydney to madrid via beijing ok for the price their website is very difficult to use their cabin staff only perfunctory and the onboard experience lacking the aircraft were reasonable with seatback screens but the movie choice was very limited and the system slow and hard to navigate especially with the oddly placed armrest controls my 777 screen stopped working entirely after 7 hours the flight attendants did not appear to be happy warm or welcoming their english was passable but their pronunciation poor so cabin announcements are difficult to understand beer is available on the drinks round but wine is only available with meals and they like to give you 13 of a cup asking for a second glass was not received well the meals were tiny taste was good but they sometimes served the same dishes twice per flight i booked a transit hotel in beijing both ways but the process was cumbersome even after i spoke to their call centre both ways it took 3 hours to get the transit visa and go through immigration and customs so be prepared the air china service desk is through customs at the door to the terminal the hotels were quite good but there was nothing nearby either of them if you have a very cheap fare and do not mind a long break mid trip in pek then air china are an option but other airlines will probably do the job better for not much more money
